Input Lat,-30.8
Input Lon,152.98
Input Elev,33.0
Grid Lat,-30.810001
Grid Lon,153.00682
Grid Elev,0.0
Local Date,Local Time,Temp (C),RH (%),Wind Dir,Wind Speed (km/h),Drought Factor,FFDI,GFDI
23 Jun 2022,05:00,5.4,98.6,265,6.0,7.7000003,0.0,0.0
23 Jun 2022,06:00,4.8,97.2,266,7.0,7.7000003,0.0,0.0
23 Jun 2022,07:00,4.5,98.6,266,6.0,7.7000003,0.0,0.0
23 Jun 2022,08:00,7.2,92.7,267,6.0,7.7000003,1.0,0.0
23 Jun 2022,09:00,10.6,77.9,266,5.0,7.7000003,1.0,0.0
23 Jun 2022,10:00,14.0,62.7,266,6.0,7.7000003,2.0,0.0
23 Jun 2022,11:00,16.2,51.2,265,5.0,7.7000003,3.0,0.0
23 Jun 2022,12:00,17.4,47.4,287,5.0,7.7000003,4.0,0.0
23 Jun 2022,13:00,18.0,46.6,51,5.0,7.7000003,4.0,0.0
23 Jun 2022,14:00,18.3,48.0,50,5.0,7.7000003,4.0,0.0
23 Jun 2022,15:00,18.0,49.9,43,5.0,7.7000003,4.0,0.0
23 Jun 2022,16:00,16.9,55.4,51,5.0,7.7000003,3.0,0.0
23 Jun 2022,17:00,13.9,69.4,26,4.0,7.7000003,2.0,0.0
23 Jun 2022,18:00,12.0,79.7,2,4.0,7.7000003,1.0,0.0
23 Jun 2022,19:00,10.5,89.2,354,4.0,7.7000003,1.0,0.0
23 Jun 2022,20:00,9.9,91.0,336,4.0,7.7000003,1.0,0.0
23 Jun 2022,21:00,9.2,95.4,310,5.0,7.7000003,1.0,0.0
23 Jun 2022,22:00,8.4,99.3,293,6.0,7.7000003,1.0,0.0
23 Jun 2022,23:00,8.2,98.7,283,6.0,7.7000003,1.0,0.0
24 Jun 2022,00:00,7.7,96.6,286,6.0,7.7000003,1.0,0.0
24 Jun 2022,01:00,7.3,92.1,278,6.0,7.7000003,1.0,0.0
24 Jun 2022,02:00,6.9,91.4,272,6.0,7.7000003,1.0,0.0
24 Jun 2022,03:00,6.6,92.0,267,7.0,7.7000003,1.0,0.0
24 Jun 2022,04:00,6.4,92.7,265,6.0,7.7000003,1.0,0.0
24 Jun 2022,05:00,6.3,93.3,265,7.0,7.7000003,1.0,0.0
24 Jun 2022,06:00,5.8,93.3,264,9.0,7.7000003,1.0,0.0
24 Jun 2022,07:00,5.6,95.2,259,9.0,7.7000003,1.0,0.0
24 Jun 2022,08:00,8.4,88.4,261,9.0,7.7000003,1.0,0.0
24 Jun 2022,09:00,11.8,73.9,265,9.0,7.7000003,1.0,0.0
24 Jun 2022,10:00,14.9,61.2,270,12.0,7.7000003,3.0,0.0
24 Jun 2022,11:00,17.1,51.4,274,11.0,7.8,4.0,0.0
24 Jun 2022,12:00,18.4,47.4,277,9.0,7.8,5.0,0.0
24 Jun 2022,13:00,19.2,45.7,279,7.0,7.8,5.0,0.0
24 Jun 2022,14:00,19.5,47.4,305,6.0,7.8,5.0,0.0
24 Jun 2022,15:00,19.3,49.6,331,6.0,7.8,4.0,0.0
24 Jun 2022,16:00,18.0,56.0,357,6.0,7.8,3.0,0.0
24 Jun 2022,17:00,14.9,68.7,343,4.0,7.8,2.0,0.0
24 Jun 2022,18:00,12.6,79.2,323,4.0,7.8,1.0,0.0
24 Jun 2022,19:00,11.4,85.8,303,5.0,7.8,1.0,0.0
24 Jun 2022,20:00,10.9,84.0,293,5.0,7.8,1.0,0.0
24 Jun 2022,21:00,10.7,81.2,272,7.0,7.8,1.0,0.0
24 Jun 2022,22:00,10.3,81.1,268,8.0,7.8,1.0,0.0
24 Jun 2022,23:00,9.9,81.0,271,7.0,7.8,1.0,0.0
25 Jun 2022,00:00,9.0,83.8,268,7.0,7.8,1.0,0.0
25 Jun 2022,01:00,8.3,86.6,263,7.0,7.8,1.0,0.0
25 Jun 2022,02:00,7.7,88.4,266,6.0,7.8,1.0,0.0
25 Jun 2022,03:00,7.2,89.6,266,7.0,7.8,1.0,0.0
25 Jun 2022,04:00,6.7,90.8,267,7.0,7.8,1.0,0.0
25 Jun 2022,05:00,6.6,91.4,264,7.0,7.8,1.0,0.0
25 Jun 2022,06:00,6.1,91.4,268,9.0,7.8,1.0,0.0
25 Jun 2022,07:00,5.8,93.3,267,8.0,7.8,1.0,0.0
25 Jun 2022,08:00,8.5,89.1,266,7.0,7.8,1.0,0.0
25 Jun 2022,09:00,11.8,75.4,265,7.0,7.8,1.0,0.0
25 Jun 2022,10:00,15.1,62.5,264,8.0,7.8,2.0,0.0
25 Jun 2022,11:00,17.4,52.2,240,7.0,7.9,4.0,0.0
25 Jun 2022,12:00,18.9,48.2,268,6.0,7.9,4.0,0.0
25 Jun 2022,13:00,19.7,46.8,252,5.0,7.9,5.0,0.0
25 Jun 2022,14:00,20.0,47.5,11,6.0,7.9,4.0,0.0
25 Jun 2022,15:00,19.7,49.4,78,7.0,7.9,4.0,0.0
25 Jun 2022,16:00,18.6,54.3,51,7.0,7.9,3.0,0.0
25 Jun 2022,17:00,15.3,68.3,43,3.0,7.9,2.0,0.0
25 Jun 2022,18:00,13.3,77.8,15,3.0,7.9,1.0,0.0
25 Jun 2022,19:00,11.9,85.8,2,4.0,7.9,1.0,0.0
25 Jun 2022,20:00,11.2,89.3,345,4.0,7.9,1.0,0.0
25 Jun 2022,21:00,10.5,93.5,318,5.0,7.9,1.0,0.0
25 Jun 2022,22:00,9.7,97.3,293,6.0,7.9,1.0,0.0
25 Jun 2022,23:00,9.3,97.3,316,5.0,7.9,1.0,0.0
26 Jun 2022,00:00,8.4,100.0,312,6.0,7.9,1.0,0.0
26 Jun 2022,01:00,7.8,100.0,279,6.0,7.9,0.0,0.0
26 Jun 2022,02:00,7.2,100.0,279,5.0,7.9,0.0,0.0
26 Jun 2022,03:00,6.7,100.0,279,5.0,7.9,0.0,0.0
26 Jun 2022,04:00,6.3,100.0,278,4.0,7.9,0.0,0.0
26 Jun 2022,05:00,6.3,100.0,278,5.0,7.9,0.0,0.0
26 Jun 2022,06:00,5.9,100.0,277,6.0,7.9,0.0,0.0
26 Jun 2022,07:00,5.8,100.0,276,6.0,7.9,0.0,0.0
26 Jun 2022,08:00,8.6,95.4,291,5.0,7.9,1.0,0.0
26 Jun 2022,09:00,12.0,80.2,292,5.0,7.9,1.0,0.0
26 Jun 2022,10:00,15.2,66.5,293,6.0,7.9,2.0,0.0
26 Jun 2022,11:00,17.5,56.7,305,6.0,8.0,3.0,0.0
26 Jun 2022,12:00,19.0,52.3,343,6.0,8.0,4.0,0.0
