Input Lat,-30.8
Input Lon,152.98
Input Elev,33
Grid Lat,-30.810001
Grid Lon,153.00682
Grid Elev,0
Local Date,Local Time,Temp (C),RH (%),Wind Dir,Wind Speed (km/h),Drought Factor,FFDI,GFDI
23-Jun-22,5:00,5.4,98.6,265,6,7.7000003,0,0
23-Jun-22,6:00,4.8,97.2,266,7,7.7000003,0,0
23-Jun-22,7:00,4.5,98.6,266,6,7.7000003,0,0
23-Jun-22,8:00,7.2,92.7,267,6,7.7000003,1,0
23-Jun-22,9:00,10.6,77.9,266,5,7.7000003,1,0
23-Jun-22,10:00,14,62.7,266,6,7.7000003,2,0
23-Jun-22,11:00,16.2,51.2,265,5,7.7000003,3,0
23-Jun-22,12:00,17.4,47.4,287,5,7.7000003,4,0
23-Jun-22,13:00,18,46.6,51,5,7.7000003,4,0
23-Jun-22,14:00,18.3,48,50,5,7.7000003,4,0
23-Jun-22,15:00,18,49.9,43,5,7.7000003,4,0
23-Jun-22,16:00,16.9,55.4,51,5,7.7000003,3,0
23-Jun-22,17:00,13.9,69.4,26,4,7.7000003,2,0
23-Jun-22,18:00,12,79.7,2,4,7.7000003,1,0
23-Jun-22,19:00,10.5,89.2,354,4,7.7000003,1,0
23-Jun-22,20:00,9.9,91,336,4,7.7000003,1,0
23-Jun-22,21:00,9.2,95.4,310,5,7.7000003,1,0
23-Jun-22,22:00,8.4,99.3,293,6,7.7000003,1,0
23-Jun-22,23:00,8.2,98.7,283,6,7.7000003,1,0
24-Jun-22,0:00,7.7,96.6,286,6,7.7000003,1,0
24-Jun-22,1:00,7.3,92.1,278,6,7.7000003,1,0
24-Jun-22,2:00,6.9,91.4,272,6,7.7000003,1,0
24-Jun-22,3:00,6.6,92,267,7,7.7000003,1,0
24-Jun-22,4:00,6.4,92.7,265,6,7.7000003,1,0
