temp,rh,fmc
0.0,0.0,9.58
0.0,10.0,10.96
0.0,20.0,12.34
0.0,30.0,13.72
0.0,40.0,15.100000000000001
0.0,50.0,16.48
0.0,60.0,17.86
0.0,70.0,19.240000000000002
0.0,80.0,20.62
0.0,90.0,22.0
0.0,100.0,23.380000000000003
10.0,0.0,7.53
10.0,10.0,8.91
10.0,20.0,10.290000000000001
10.0,30.0,11.670000000000002
10.0,40.0,13.05
10.0,50.0,14.43
10.0,60.0,15.810000000000002
10.0,70.0,17.19
10.0,80.0,18.57
10.0,90.0,19.950000000000003
10.0,100.0,21.33
20.0,0.0,5.48
20.0,10.0,6.86
20.0,20.0,8.24
20.0,30.0,9.620000000000001
20.0,40.0,11.0
20.0,50.0,12.38
20.0,60.0,13.760000000000002
20.0,70.0,15.14
20.0,80.0,16.520000000000003
20.0,90.0,17.900000000000002
20.0,100.0,19.28
30.0,0.0,5.0
30.0,10.0,5.0
30.0,20.0,6.190000000000001
30.0,30.0,7.570000000000001
30.0,40.0,8.950000000000001
30.0,50.0,10.330000000000002
30.0,60.0,11.71
30.0,70.0,13.09
30.0,80.0,14.470000000000002
30.0,90.0,15.850000000000001
30.0,100.0,17.23
40.0,0.0,5.0
40.0,10.0,5.0
40.0,20.0,5.0
40.0,30.0,5.520000000000001
40.0,40.0,6.900000000000001
40.0,50.0,8.280000000000001
40.0,60.0,9.660000000000002
40.0,70.0,11.040000000000001
40.0,80.0,12.420000000000002
40.0,90.0,13.800000000000002
40.0,100.0,15.180000000000001
