ROS,fl_max,tsf,k,intensity
0.0,20.0,0.0,0.2,0.0
0.0,20.0,2.0,0.2,0.0
0.0,20.0,4.0,0.2,0.0
0.0,20.0,6.0,0.2,0.0
0.0,20.0,8.0,0.2,0.0
0.0,20.0,10.0,0.2,0.0
0.0,20.0,12.0,0.2,0.0
0.0,20.0,14.0,0.2,0.0
0.0,20.0,16.0,0.2,0.0
0.0,20.0,18.0,0.2,0.0
0.0,20.0,20.0,0.2,0.0
0.0,20.0,22.0,0.2,0.0
0.0,20.0,24.0,0.2,0.0
200.0,20.0,0.0,0.2,0.0
200.0,20.0,2.0,0.2,681.3385715263454
200.0,20.0,4.0,0.2,1138.053474157742
200.0,20.0,6.0,0.2,1444.1986287147824
200.0,20.0,8.0,0.2,1649.4138628110454
200.0,20.0,10.0,0.2,1786.9737479776668
200.0,20.0,12.0,0.2,1879.1828965352142
200.0,20.0,14.0,0.2,1940.9925372412163
200.0,20.0,16.0,0.2,1982.4247784447102
200.0,20.0,18.0,0.2,2010.1976402755954
200.0,20.0,20.0,0.2,2028.8143462966157
200.0,20.0,22.0,0.2,2041.2934975336586
200.0,20.0,24.0,0.2,2049.6585227653586
400.0,20.0,0.0,0.2,0.0
400.0,20.0,2.0,0.2,1362.6771430526908
400.0,20.0,4.0,0.2,2276.106948315484
400.0,20.0,6.0,0.2,2888.397257429565
400.0,20.0,8.0,0.2,3298.827725622091
400.0,20.0,10.0,0.2,3573.9474959553336
400.0,20.0,12.0,0.2,3758.3657930704285
400.0,20.0,14.0,0.2,3881.9850744824325
400.0,20.0,16.0,0.2,3964.8495568894205
400.0,20.0,18.0,0.2,4020.395280551191
400.0,20.0,20.0,0.2,4057.6286925932313
400.0,20.0,22.0,0.2,4082.5869950673173
400.0,20.0,24.0,0.2,4099.317045530717
600.0,20.0,0.0,0.2,0.0
600.0,20.0,2.0,0.2,2044.0157145790363
600.0,20.0,4.0,0.2,3414.160422473226
600.0,20.0,6.0,0.2,4332.595886144347
600.0,20.0,8.0,0.2,4948.241588433137
600.0,20.0,10.0,0.2,5360.921243933
600.0,20.0,12.0,0.2,5637.548689605643
600.0,20.0,14.0,0.2,5822.977611723649
600.0,20.0,16.0,0.2,5947.27433533413
