U_10,fmc,DF,KBDI,ROS,intensity,flame_h
0.0,0.0,0.0,0.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,0.0,20.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,0.0,40.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,0.0,60.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,0.0,80.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,0.0,100.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,0.0,120.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,0.0,140.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,0.0,160.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,0.0,180.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,0.0,200.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,2.0,0.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,2.0,20.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,2.0,40.0,17.30913303525749,4.294056116708074,0.08143825218550732
0.0,0.0,2.0,60.0,18.299150208971046,4.457536479298339,0.08884904280998018
0.0,0.0,2.0,80.0,19.364099458868846,4.675237658817502,0.09728924603061395
0.0,0.0,2.0,100.0,20.508275355385866,4.964627507333172,0.10689015289392545
0.0,0.0,2.0,120.0,21.735754570084676,5.348471347200548,0.11779501841834797
0.0,0.0,2.0,140.0,23.050212486559793,5.856229643219159,0.13015813644544735
0.0,0.0,2.0,160.0,24.454685081063126,6.525692657436558,0.14414287774423667
0.0,0.0,2.0,180.0,25.95126745215689,7.404805270445747,0.15991830518660533
0.0,0.0,2.0,200.0,27.401474141235415,8.44325934859732,0.1760596349638407
0.0,0.0,4.0,0.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,4.0,20.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,4.0,40.0,18.000538525990816,4.404518692956505,0.08656926216457557
0.0,0.0,4.0,60.0,20.163458920689468,4.870888504851752,0.10393913361103307
0.0,0.0,4.0,80.0,22.654586757602367,5.69205412459052,0.12636297964331666
0.0,0.0,4.0,100.0,25.501689601448994,7.1213287859582595,0.15508498243062763
0.0,0.0,4.0,120.0,28.718471150286,9.56651470242048,0.19144514529998408
0.0,0.0,4.0,140.0,32.292275599915925,13.645004686089976,0.23668714290716075
0.0,0.0,4.0,160.0,36.16832914274259,20.204451409783374,0.2915997244848898
0.0,0.0,4.0,180.0,40.234810423508094,30.23262415759477,0.355981809299463
0.0,0.0,4.0,200.0,43.97454879480865,43.16113955915888,0.4216843860504891
0.0,0.0,6.0,0.0,16.65289886970893,4.203912044536135,0.07676075706827082
0.0,0.0,6.0,20.0,16.65289886970893,4.203912044536135,0.07676075706827082
